film_name,CN_name,URL,imDB ID,rating,year,address,Area,lat,lng,youtubeKey,youtubeTime,picture
2046,2046,https://www.imdb.com/title/tt0212712/,tt0212712,7.4,2004,"Goldfinch Restaurant, Causeway Bay, Hong Kong",Causeway Bay,22.278744,114.181702,ZGa6N1u39iE,1,https://example.com/pictures/2046.jpg
A Better Tomorrow,????,https://www.imdb.com/title/tt0092263/,tt0092263,7.4,1986,"Jackson Road, Central, Hong Kong",Central,22.281270,114.160800,M7ZBsUf986E,1,asset/movie/bettertomorrow.jpg
A Better Tomorrow,????,https://www.imdb.com/title/tt0092263/,tt0092263,7.4,1986,"Victoria Harbour, Hong Kong",Victoria Harbour,22.286400,114.192500,M7ZBsUf986E,1,https://example.com/pictures/a_better_tomorrow.jpg
A Chinese Ghost Story,????,https://www.imdb.com/title/tt0093978/,tt0093978,7.4,1987,"Sai Kung, Hong Kong",Sai Kung,22.379400,114.270800,,1,https://example.com/pictures/a_chinese_ghost_story.jpg
A Chinese Odyssey Part Two: Cinderella,?????????,https://www.imdb.com/title/tt0114996/,tt0114996,7.8,1995,"Sai Kung, Hong Kong",Sai Kung,22.379400,114.270800,,1,https://example.com/pictures/a_chinese_odyssey_part_two_cinderella.jpg
A Hero Never Dies,????,https://www.imdb.com/title/tt0136317/,tt0136317,5.8,1998,"Sham Shui Po, Kowloon, Hong Kong",Sham Shui Po,22.330200,114.159300,,1,https://example.com/pictures/a_hero_never_dies.jpg
A Moment of Romance,????,https://www.imdb.com/title/tt0100777/,tt0100777,7.3,1990,"St. Margaret's Church, 2A Broadwood Rd, Leighton Hill, Hong Kong",Leighton Hill,22.274081,114.180032,,1,
A Simple Life,??,https://www.imdb.com/title/tt2008006/,tt2008006,7.5,2011,"Sham Shui Po, Kowloon, Hong Kong",Sham Shui Po,22.330200,114.159300,,1,https://example.com/pictures/a_simple_life.jpg
Armed Reaction,????,https://www.imdb.com/title/tt11463680/,tt11463680,8.4,1998,"59 Public Square St, Yau Ma Tei, Hong Kong",Yau Ma Tei,22.309806,114.168878,4elaeSRwAmI,167,
As Tears Go By,????,https://www.imdb.com/title/tt0098691/,tt0098691,5.9,1988,"Mong Kok, Kowloon, Hong Kong",Mong Kok,22.318000,114.169400,,1,https://example.com/pictures/as_tears_go_by.jpg
As Tears Go By,????,https://www.imdb.com/title/tt0096461/,tt0096461,7,1988,"Mong Kok, Kowloon, Hong Kong",Mong Kok,22.318000,114.169400,,1,https://example.com/pictures/as_tears_go_by.jpg
Bullet in the Head,????,https://www.imdb.com/title/tt0099426/,tt0099426,7.5,1990,"Sai Wan Ho, Hong Kong",Sai Wan Ho,22.284400,114.222500,,1,https://example.com/pictures/bullet_in_the_head.jpg
"C'est la vie, mon ch‚ri",????,https://www.imdb.com/title/tt0111770/,tt0111770,7.6,1993,"405 Nathan Rd, Yau Ma Tei, Hong Kong",Yau Ma Tei,22.309969,114.168353,,1,
Chasing the Dragon,??,https://www.imdb.com/title/tt7183578/,tt7183578,6.8,2017,"Central, Hong Kong",Central,22.282900,114.158800,,1,https://example.com/pictures/chasing_the_dragon.jpg
Chungking Express,????,https://www.imdb.com/title/tt0109424/,tt0109424,8,1994,"Central-Mid-Levels Escalators, Jubilee St, Central, Hong Kong",Central,22.283846,114.152394,OPCug9jyG9k,1,
Chungking Express,????,https://www.imdb.com/title/tt0109424/,tt0109424,8,1994,"Stanley Street Restaurant, 78 Stanley St, Central, Hong Kong",Central,22.283556,114.152063,OPCug9jyG9k,1,
Chungking Express,????,https://www.imdb.com/title/tt0109424/,tt0109424,8,1994,"Chungking Mansions, 36-44 Nathan Rd, Tsim Sha Tsui, Hong Kong",Tsim Sha Tsui,22.297700,114.172900,OPCug9jyG9k,1,asset/movie/chungking.jpg
City on Fire,????,https://www.imdb.com/title/tt0093435/,tt0093435,7,1987,"Central, Hong Kong",Central,22.282900,114.158800,,1,https://example.com/pictures/city_on_fire.jpg
Cold War,??,https://www.imdb.com/title/tt2165505/,tt2165505,N/A,2012,"Central, Hong Kong",Central,22.282900,114.158800,,1,https://example.com/pictures/cold_war.jpg
Cold War,??,https://www.imdb.com/title/tt2186715/,tt2186715,6.6,2012,"Wan Chai, Hong Kong",Wan Chai,22.276000,114.173200,,1,https://example.com/pictures/cold_war.jpg
Comrades: Almost a Love Story,???,https://www.imdb.com/title/tt0117905/,tt0117905,8.1,1996,"Mong Kok, Kowloon, Hong Kong",Mong Kok,22.318000,114.169400,,1,https://example.com/pictures/comrades_almost_a_love_story.jpg
Comrades: Almost a Love Story,???,https://www.imdb.com/title/tt0117905/,tt0117905,8.1,1996,"Tsim Sha Tsui, Hong Kong",Tsim Sha Tsui,22.297986,114.166251,,1,
Crying Heart,???,https://www.imdb.com/title/tt0382625/,tt0382625,6.6,2003,"Central, Hong Kong",Central,22.282900,114.158800,,1,https://example.com/pictures/crying_heart.jpg
Days of Being Wild,????,https://www.imdb.com/title/tt0101258/,tt0101258,7.4,1990,"Kowloon Walled City Park, Kowloon City, Hong Kong",Kowloon City,22.332302,114.188200,,1,
Detective Dee: The Four Heavenly Kings,????????,https://www.imdb.com/title/tt6869538/,tt6869538,6.3,2018,"Central, Hong Kong",Central,22.282900,114.158800,,1,https://example.com/pictures/detective_dee_the_four_heavenly_kings.jpg
